index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
53,2021-01-06T09:39:40+00:00,2021-01-06T09:44:19+00:00,2021-01-06T09:54:05+00:00,254,185,11.83,0.0,9.25,,,,,,2.58,Williamsbridge/Olinville,Pelham Parkway,uber_trips_prod,2025-12-16T00:24:30.410235+00:00
53,2021-01-06T09:39:40+00:00,2021-01-06T09:44:19+00:00,2021-01-06T09:54:05+00:00,254,185,11.83,0.0,9.25,,,,,,2.58,Williamsbridge/Olinville,Pelham Parkway,uber_trips_clean,2025-12-16T00:24:30.411237+00:00
987,2021-01-03T06:34:26+00:00,2021-01-03T06:39:19+00:00,2021-01-03T06:50:13+00:00,218,265,18.06,0.0,13.03,,,,,,5.0299997,Springfield Gardens North,,uber_trips_clean,2025-12-16T00:24:35.423322+00:00
987,2021-01-03T06:34:26+00:00,2021-01-03T06:39:19+00:00,2021-01-03T06:50:13+00:00,218,265,18.06,0.0,13.03,,,,,,5.0299997,Springfield Gardens North,,uber_trips_prod,2025-12-16T00:24:35.428104+00:00
878,2021-01-16T15:49:11+00:00,2021-01-16T15:53:02+00:00,2021-01-16T16:07:59+00:00,87,107,19.93,0.0,12.28,,,,,,7.6500006,Financial District North,Gramercy,uber_trips_clean,2025-12-16T00:24:40.426292+00:00
878,2021-01-16T15:49:11+00:00,2021-01-16T15:53:02+00:00,2021-01-16T16:07:59+00:00,87,107,19.93,0.0,12.28,,,,,,7.6500006,Financial District North,Gramercy,uber_trips_prod,2025-12-16T00:24:40.431079+00:00
110,2021-01-30T14:34:31+00:00,2021-01-30T14:36:39+00:00,2021-01-30T14:48:24+00:00,212,252,7.86,0.0,11.37,,,,,,-3.5099998,Soundview/Bruckner,Whitestone,uber_trips_clean,2025-12-16T00:24:45.434405+00:00
110,2021-01-30T14:34:31+00:00,2021-01-30T14:36:39+00:00,2021-01-30T14:48:24+00:00,212,252,7.86,0.0,11.37,,,,,,-3.5099998,Soundview/Bruckner,Whitestone,uber_trips_prod,2025-12-16T00:24:45.432131+00:00
91,2021-01-11T19:11:07+00:00,2021-01-11T19:14:00+00:00,2021-01-11T19:23:21+00:00,37,225,7.38,0.0,6.4,,,,,,0.98,Bushwick South,Stuyvesant Heights,uber_trips_prod,2025-12-16T00:24:50.433978+00:00
91,2021-01-11T19:11:07+00:00,2021-01-11T19:14:00+00:00,2021-01-11T19:23:21+00:00,37,225,7.38,0.0,6.4,,,,,,0.98,Bushwick South,Stuyvesant Heights,uber_trips_clean,2025-12-16T00:24:50.434962+00:00
